title,company,location,how_old,link
Analista Desenvolvedor Python São Paulo / SP,Yaman,"São Paulo, SP",Postedhá 7 dias,https://br.indeed.com/rc/clk?jk=a01a3d0f3536c3b6&fccid=33653b725b362ef8&vjs=3
JEITTO | ANALISTA DE DADOS PLENO (CLT),Jeitto,Home office,Postedhá 2 dias,https://br.indeed.com/rc/clk?jk=4dcc4dd9e04ca5cb&fccid=62635d4584fa443b&vjs=3
Analista Operações de Voo III,GOL Linhas Aéreas,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=570db07527efff9e&fccid=268ec8086cc786f5&vjs=3
Engenheira(o) de Dados - GCP - Júnior (Remoto),Bix,"Home office in Florianópolis, SC",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=4fee107e862a6d63&fccid=50baf2a5aab91854&vjs=3
Pessoa Desenvolvedora Python Pleno - (100% Remoto),invilliabr,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=c336e49f6c33174d&fccid=287017f8abf88756&vjs=3
"Desenvolvedor Backend (Python, SQL, Flask, PostgreSQL e RESTful APIs)",Turing.com,Home office,EmployerAtiva 3 dias atrás,https://br.indeed.com/company/Turing.com/jobs/Desenvolvedor-Backend-30f4d2d85efc2ccf?fccid=a2e0cbec0b626661&vjs=3
Analista de QA Junior - Altaia,openlabs,Home office,Postedhá 23 dias,https://br.indeed.com/rc/clk?jk=a4ba5a298623b891&fccid=221db006ee5627ae&vjs=3
Analista de aplicação e Infraestutura,"É simples, é SAP, é Fusion",Home office,PostedRecém publicada,https://br.indeed.com/rc/clk?jk=4353726e24a5670e&fccid=dd616958bd9ddc12&vjs=3
Analista de sistemas Python,Shibata Supermercados,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=be49e18095e6e4ab&fccid=0fdeeac895c82608&vjs=3
RINGA-4945625/5G - DESENVOLVEDOR BACK END PYTHON JUNIOR,Elemento RH,"Home office in São Carlos, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=c38adf7a384daf77&fccid=0803299a25b221e3&vjs=3
"Desenvolvedor Frontend (React, APIs, React Native e Python)",Turing.com,Home office,EmployerAtiva 28 dias atrás,https://br.indeed.com/company/Turing.com/jobs/Desenvolvedor-Frontend-1ed3462263ef2015?fccid=a2e0cbec0b626661&vjs=3
Desenvolvedor Python (Remoto),Share RH,"Home office in São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=b6fb017ca5561510&fccid=a348a1a87f84f063&vjs=3
Staff Engineer,McKinsey & Company,"São Paulo, SP",Postedhá 5 dias,https://br.indeed.com/rc/clk?jk=43766cb0cac71d93&fccid=6576e7250aa78c3c&vjs=3
Cientista de Decisões,Mercê do Bairro,Home office,Postedhá 20 dias,https://br.indeed.com/rc/clk?jk=46bb2d1ce7665316&fccid=aa6da1aa3e4d838f&vjs=3
